Link;Fiyat;İlan Tarihi;Marka;Seri;Model;Yıl;Kilometre;Vites;Yakıt;Kasa Tipi;Renk;Motor Hacmi;Motor Gücü;Araç Durumu;Boya-değişen
https://www.arabam.com/ilan/galeriden-satilik-audi-a3-sportback-30-tfsi-dynamic/esada-2019-audi-a3-30-tfsi-dynamic-hatasiz-ayarinda/35123583;1.440.000 TL;25 Kasım 2025;Audi;A3;A3 Sportback 30 TFSI Dynamic;2019;117.500 km;Otomatik;Benzin;Hatchback/5;Beyaz;1200 cm3' e kadar;101 - 125 HP;İkinci El;2 boyalı
https://www.arabam.com/ilan/galeriden-satilik-audi-a4-sedan-2-0-tdi-quattro/2013-audi-a4-quattro-s-tronic-limousine-177hp/28637647;1.075.000 TL;25 Kasım 2025;Audi;A4;A4 Sedan 2.0 TDI Quattro;2013;269.000 km;Yarı Otomatik;63 lt;Sedan;Siyah;1968 cc;177 hp;İkinci El;Tamamı orjinal
https://www.arabam.com/ilan/galeriden-satilik-audi-a3-sedan-1-6-tdi-s-line/2015-model-audi-a3-1-6tdi-sline/34891927;1.365.000 TL;25 Kasım 2025;Audi;A3;A3 Sedan 1.6 TDI S Line;2015;225.000 km;Yarı Otomatik;50 lt;Sedan;Beyaz;1598 cc;110 hp;İkinci El;3 boyalı
https://www.arabam.com/ilan/galeriden-satilik-audi-a3-sedan-1-6-tdi-dynamic/defne-otomotivden-satilik-audi-a3-sedan-1-6-tdi-dynamic-2017-model-tekirdag/35095216;1.290.000 TL;24 Kasım 2025;Audi;A3;A3 Sedan 1.6 TDI Dynamic;2017;190.000 km;Yarı Otomatik;50 lt;Sedan;Siyah;1598 cc;116 hp;İkinci El;1 değişen, 4 boyalı
https://www.arabam.com/ilan/sahibinden-satilik-audi-a6-sedan-3-0-tdi-quattro/audi-a6-3-0-tdi-4-ceker-225kw-takas-olur/32532464;850.000 TL;24 Kasım 2025;Audi;A6;A6 Sedan 3.0 TDI Quattro;2005;380.000 km;Otomatik;80 lt;Sedan;Gri (Gümüş);2967 cc;233 hp;İkinci El;2 değişen
https://www.arabam.com/ilan/galeriden-satilik-audi-a5-sportback-40-tdi-quattro-s-line/galeriden-audi-a6-40-tdi-quattro-s-line-2022-model-elazig/33433020;5.385.000 TL;24 Kasım 2025;Audi;A5;A5 Sportback 40 TDI Quattro S Line;2022;99.000 km;Yarı Otomatik;58 lt;Hatchback/5;Gri;1968 cc;204 hp;İkinci El;Tamamı orjinal
https://www.arabam.com/ilan/galeriden-satilik-audi-a6-sedan-2-0-tdi/akt-motors-tan-2012-audi-a6-2-0-tdi-177hp-isitma-vakum-hafiza/35077244;1.685.000 TL;24 Kasım 2025;Audi;A6;A6 Sedan 2.0 TDI;2012;198.000 km;Otomatik;65 lt;Sedan;Beyaz;1968 cc;177 hp;İkinci El;3 boyalı
https://www.arabam.com/ilan/galeriden-satilik-audi-a3-sedan-35-tfsi-advanced/158-500-km-de-2022-audi-a3-sedan-advanced-cam-tavan-hatasiz/34785674;2.019.900 TL;23 Kasım 2025;Audi;A3;A3 Sedan 35 TFSI Advanced;2022;158.500 km;Otomatik;Hibrit;Sedan;Gri;1401 - 1600 cm3;126 - 150 HP;İkinci El;Tamamı orjinal
https://www.arabam.com/ilan/galeriden-satilik-audi-a6-sedan-2-0-tdi-quattro/2018-model-hatasiz-makam-araci-audi-a6-quatro-emsalsiz/34737823;2.395.000 TL;23 Kasım 2025;Audi;A6;A6 Sedan 2.0 TDI Quattro;2018;270.000 km;Yarı Otomatik;65 lt;Sedan;Siyah;1968 cc;190 hp;İkinci El;1 boyalı
https://www.arabam.com/ilan/galeriden-satilik-audi-a3-sportback-1-6-ambition/2006-model-otomatik-vites-226binkm-de-sline-a3-k-kartina-taksit/33350790;532.000 TL;23 Kasım 2025;Audi;A3;A3 Sportback 1.6 Ambition;2006;226.000 km;Düz;55 lt;Hatchback/3;Siyah;1595 cc;102 hp;İkinci El;1 değişen, 10 boyalı
https://www.arabam.com/ilan/galeriden-satilik-audi-a3-sportback-1-6-tdi-design-line/ata-cars-2017-audi-a3-cam-tavan-s-tronic-hatasiz/35026404;1.425.000 TL;22 Kasım 2025;Audi;A3;A3 Sportback 1.6 TDI Design Line;2017;195.000 km;Otomatik;Dizel;Hatchback/5;Beyaz;1401 - 1600 cm3;101 - 125 HP;İkinci El;Belirtilmemiş
https://www.arabam.com/ilan/galeriden-satilik-audi-a4-sedan-1-4-tfsi-dynamic/grn-autodan-expertiz-raporlu/34057760;1.700.000 TL;22 Kasım 2025;Audi;A4;A4 Sedan 1.4 TFSI Dynamic;2016;302.000 km;Yarı Otomatik;54 lt;Sedan;Siyah;1395 cc;150 hp;İkinci El;4 boyalı
https://www.arabam.com/ilan/galeriden-satilik-audi-a3-sedan-1-6-tdi-ambition/2015-1-6-audi-a3-sedan-recaro-3-kol-direksiyon-masrafsiz/35171478;1.090.000 TL;22 Kasım 2025;Audi;A3;A3 Sedan 1.6 TDI Ambition;2015;249.000 km;Otomatik;Dizel;Sedan;Siyah;1401 - 1600 cm3;101 - 125 HP;İkinci El;Tamamı orjinal
https://www.arabam.com/ilan/galeriden-satilik-audi-a4-sedan-2-0-tdi/2011-audi-a4-2-0-tdi-otomatik-vites-191-binkm/33350619;1.145.000 TL;22 Kasım 2025;Audi;A4;A4 Sedan 2.0 TDI;2011;191.000 km;Otomatik;65 lt;Sedan;Beyaz;1968 cc;143 hp;İkinci El;1 değişen, 3 boyalı
https://www.arabam.com/ilan/galeriden-satilik-audi-a4-sedan-2-0-tdi/2013-audi-a4-limousine-hatasiz-boyasiz-siyah-renk/33327032;1.180.000 TL;22 Kasım 2025;Audi;A4;A4 Sedan 2.0 TDI;2013;249.000 km;Otomatik;63 lt;Sedan;Siyah;1968 cc;150 hp;İkinci El;Tamamı orjinal
https://www.arabam.com/ilan/galeriden-satilik-audi-s-s3-2-0-tfsi-quattro/ync-motors-2014-audi-s3-sedan-2-0-tfsi-quattro-siyah-350-hp/34980416;2.100.000 TL;20 Kasım 2025;Audi;S;S3 2.0 TFSI Quattro;2014;170.000 km;Otomatik;Benzin;Sedan;Siyah;1801 - 2000 cm3;276 - 300 HP;İkinci El;2 boyalı
https://www.arabam.com/ilan/galeriden-satilik-audi-a3-sportback-1-6-tdi-ambition/2013-audi-a3-dizel-otomatik-3-kol-direksiyon-recore-koltuk/32268937;1.179.000 TL;20 Kasım 2025;Audi;A3;A3 Sportback 1.6 TDI Ambition;2013;156.700 km;Otomatik;Dizel;Hatchback/5;Beyaz;1401 - 1600 cm3;101 - 125 HP;İkinci El;7 boyalı
https://www.arabam.com/ilan/galeriden-satilik-audi-a3-sedan-1-6-tdi-ambiente/hatasiz-boyasiz-emsalsiz-115-bin-km-2015-audi-a3-1-6-tdi-ambient/31914408;1.515.000 TL;20 Kasım 2025;Audi;A3;A3 Sedan 1.6 TDI Ambiente;2015;115.000 km;Otomatik;Dizel;Sedan;Beyaz;1401 - 1600 cm3;101 - 125 HP;İkinci El;Tamamı orjinal
https://www.arabam.com/ilan/galeriden-satilik-audi-a6-sedan-2-0-tdi-quattro/emcar-motors-audi-a6-2-0tdi-quattro-cift-navi-vakum-elk-bagaj/35124573;2.425.000 TL;18 Kasım 2025;Audi;A6;A6 Sedan 2.0 TDI Quattro;2016;235.000 km;Yarı Otomatik;65 lt;Sedan;Gri;1968 cc;190 hp;İkinci El;3 boyalı
https://www.arabam.com/ilan/galeriden-satilik-audi-a6-sedan-2-0-tdi/a6-2-0tdi-8ileri-vakum-20jant-k-isitma-rs-tamp-muk-kondisyon/32745958;1.149.000 TL;18 Kasım 2025;Audi;A6;A6 Sedan 2.0 TDI;2012;372.000 km;Otomatik;65 lt;Sedan;Beyaz;1968 cc;177 hp;İkinci El;1 değişen
https://www.arabam.com/ilan/galeriden-satilik-audi-a4-sedan-2-0-tdi/2015-a4-2-tdi-multitronic-2-sahibinden-serv-bakmli-joistik-150bg/34866740;1.320.000 TL;17 Kasım 2025;Audi;A4;A4 Sedan 2.0 TDI;2015;224.000 km;Otomatik;Dizel;Sedan;Beyaz;1801 - 2000 cm3;126 - 150 HP;İkinci El;3 boyalı
https://www.arabam.com/ilan/galeriden-satilik-audi-a3-sportback-35-tfsi-advanced/met-motors-audi-a3-35tfsi-hybrit-hatasiz-servis-bakim/31705753;2.125.000 TL;17 Kasım 2025;Audi;A3;A3 Sportback 35 TFSI Advanced;2023;69.000 km;Yarı Otomatik;50 lt;Hatchback/5;Beyaz;1498 cc;150 hp;İkinci El;Tamamı orjinal
https://www.arabam.com/ilan/galeriden-satilik-audi-a3-sedan-1-6-tdi-ambition/degisensiz-2014-cikis-limousine-ici-bej-f1-vites-3d-tasarim/34796077;1.235.000 TL;16 Kasım 2025;Audi;A3;A3 Sedan 1.6 TDI Ambition;2013;207.500 km;Yarı Otomatik;50 lt;Sedan;Siyah;1598 cc;105 hp;İkinci El;3 boyalı
https://www.arabam.com/ilan/galeriden-satilik-audi-a3-sportback-1-6-tdi-ambiente/oz-kalbisen-otomotivden/34750046;"1.655.000 TL
1.625.000 TL";15 Kasım 2025;Audi;A3;A3 Sportback 1.6 TDI Ambiente;2016;132.000 km;Yarı Otomatik;50 lt;Hatchback/5;Beyaz;1598 cc;110 hp;İkinci El;Tamamı orjinal
https://www.arabam.com/ilan/galeriden-satilik-audi-a4-sedan-45-tfsi-quattro-advanced/ruyam-motors-audi-a4-45-tfsi-quattro-hayalet-isitma-m-perde/34231340;3.110.000 TL;15 Kasım 2025;Audi;A4;A4 Sedan 45 TFSI Quattro Advanced;2020;110.000 km;Otomatik;Benzin;Sedan;Siyah;1801 - 2000 cm3;251 - 275 HP;İkinci El;Tamamı orjinal
https://www.arabam.com/ilan/galeriden-satilik-audi-a4-sedan-1-4-tfsi-design/valore-auto-2017-a4-1-4tfsi-design-150-hp-sunroof-matrix-hatasiz/34231206;1.769.000 TL;15 Kasım 2025;Audi;A4;A4 Sedan 1.4 TFSI Design;2017;187.000 km;Yarı Otomatik;54 lt;Sedan;Gri;1395 cc;150 hp;İkinci El;3 boyalı
https://www.arabam.com/ilan/galeriden-satilik-audi-a3-sportback-35-tfsi-advanced/galeriden-audi-a3-sportback-35-tfsi-advanced-2025-model-istanbul/34625289;2.555.000 TL;12 Kasım 2025;Audi;A3;A3 Sportback 35 TFSI Advanced;2025;6.001 km;Otomatik;Hibrit;Coupe;Beyaz;1401 - 1600 cm3;151 - 175 HP;İkinci El;Tamamı orjinal
https://www.arabam.com/ilan/galeriden-satilik-audi-a3-sedan-1-0-tfsi-dynamic/1-19-kredi-beyond-2016-145-000-km-degisensiz-boyasiz-temiz-a3/33557563;1.379.900 TL;12 Kasım 2025;Audi;A3;A3 Sedan 1.0 TFSI Dynamic;2016;145.000 km;Yarı Otomatik;50 lt;Sedan;Beyaz;999 cc;116 hp;İkinci El;Tamamı orjinal
https://www.arabam.com/ilan/galeriden-satilik-audi-a3-sedan-1-6-tdi-ambition/audi-a3-sedan-1-6-tdi-ambition-2013-model-izmir/34443512;1.150.000 TL;11 Kasım 2025;Audi;A3;A3 Sedan 1.6 TDI Ambition;2013;194.000 km;Yarı Otomatik;50 lt;Sedan;Füme;1598 cc;105 hp;İkinci El;1 değişen, 5 boyalı
https://www.arabam.com/ilan/galeriden-satilik-audi-a4-sedan-1-4-tfsi-dynamic/albayrak-auto-audi-a4-sedan-1-4-tfsi-dynamic-2017-model-150-hp/33701272;1.800.000 TL;10 Kasım 2025;Audi;A4;A4 Sedan 1.4 TFSI Dynamic;2017;221.000 km;Yarı Otomatik;54 lt;Sedan;Siyah;1395 cc;150 hp;İkinci El;Tamamı orjinal
https://www.arabam.com/ilan/galeriden-satilik-audi-a3-sedan-35-tfsi-advanced/ilk-sahibinden-boyasiz-degisensiz-35-tfsi-audi-a3/32154491;2.049.000 TL;09 Kasım 2025;Audi;A3;A3 Sedan 35 TFSI Advanced;2022;114.000 km;Otomatik;Benzin;Sedan;Siyah;1401 - 1600 cm3;126 - 150 HP;İkinci El;Tamamı orjinal
https://www.arabam.com/ilan/sahibinden-satilik-audi-a3-sedan-1-6-tdi-design-line/sahibinden-audi-a3-sedan-1-6-tdi-design-line-2018-model/35292933;1.299.999 TL;29 Kasım 2025;Audi;A3;A3 Sedan 1.6 TDI Design Line;2018;196.000 km;Otomatik;Dizel;Sedan;Mavi;;;İkinci El;2 değişen, 4 boyalı
https://www.arabam.com/ilan/sahibinden-satilik-audi-a3-sportback-1-4-tfsi-attraction/sahibinden-audi-a3-sportback-1-4-tfsi-attraction-2009-model/35293048;730.000 TL;29 Kasım 2025;Audi;A3;A3 Sportback 1.4 TFSI Attraction;2009;303.000 km;Yarı Otomatik;55 lt;Hatchback/5;Siyah;1390 cc;125 hp;İkinci El;10 boyalı
https://www.arabam.com/ilan/sahibinden-satilik-audi-a3-sedan-1-6-tdi-dynamic/sahibinden-audi-a3-sedan-1-6-tdi-dynamic-2017-model/35292396;1.450.000 TL;29 Kasım 2025;Audi;A3;A3 Sedan 1.6 TDI Dynamic;2017;149.600 km;Yarı Otomatik;50 lt;Sedan;Gri;1598 cc;116 hp;İkinci El;4 boyalı
https://www.arabam.com/ilan/sahibinden-satilik-audi-a3-sedan-30-tdi-dynamic/sahibinden-audi-a3-sedan-30-tdi-dynamic-2019-model/35292184;1.635.000 TL;29 Kasım 2025;Audi;A3;A3 Sedan 30 TDI Dynamic;2019;198.000 km;Yarı Otomatik;50 lt;Sedan;Beyaz;1598 cc;116 hp;İkinci El;1 değişen
https://www.arabam.com/ilan/sahibinden-satilik-audi-a3-sedan-1-6-tdi-ambition/sahibinden-audi-a3-sedan-1-6-tdi-ambition-2013-model/35292278;1.050.000 TL;29 Kasım 2025;Audi;A3;A3 Sedan 1.6 TDI Ambition;2013;285.000 km;Yarı Otomatik;50 lt;Sedan;Gri;1598 cc;105 hp;İkinci El;7 boyalı
https://www.arabam.com/ilan/sahibinden-satilik-audi-a3-sedan-1-5-tfsi-sport-line/sahibinden-audi-a3-sedan-1-5-tfsi-sport-line-2020-model/35292212;1.825.000 TL;29 Kasım 2025;Audi;A3;A3 Sedan 1.5 TFSI Sport Line;2020;95.000 km;Otomatik;Benzin;Sedan;Gri;;;İkinci El;1 değişen
https://www.arabam.com/ilan/sahibinden-satilik-audi-a5-sportback-2-0-tdi-quattro/sahibinden-audi-a5-sportback-2-0-tdi-quattro-2015-model/35290756;1.920.000 TL;29 Kasım 2025;Audi;A5;A5 Sportback 2.0 TDI Quattro;2015;180.000 km;Yarı Otomatik;63 lt;Hatchback/5;Beyaz;1968 cc;177 hp;İkinci El;1 boyalı
https://www.arabam.com/ilan/sahibinden-satilik-audi-a3-sportback-1-6-standart/sahibinden-audi-a3-sportback-1-6-standart-2006-model/35289402;810.000 TL;29 Kasım 2025;Audi;A3;A3 Sportback 1.6 Sportback Standart;2006;132.000 km;Otomatik;55 lt;Hatchback/5;Mavi;1595 cc;102 hp;İkinci El;Belirtilmemiş
https://www.arabam.com/ilan/sahibinden-satilik-audi-a3-sedan-30-tdi-design/sahibinden-audi-a3-sedan-30-tdi-design-2019-model/35285282;1.690.000 TL;29 Kasım 2025;Audi;A3;A3 Sedan 30 TDI Design;2019;187.000 km;Yarı Otomatik;50 lt;Sedan;Beyaz;1598 cc;116 hp;İkinci El;Belirtilmemiş
https://www.arabam.com/ilan/sahibinden-satilik-audi-a4-sedan-1-8-t/sahibinden-audi-a4-sedan-1-8-t-2006-model/35281314;700.000 TL;29 Kasım 2025;Audi;A4;A4 Sedan 1.8 T;2006;280.000 km;Otomatik;70 lt;Sedan;Siyah;1781 cc;163 hp;İkinci El;Belirtilmemiş
https://www.arabam.com/ilan/sahibinden-satilik-audi-a3-sportback-1-4-tfsi-ambition/limited-edition-ozel-seri-satilik/35279082;1.110.000 TL;29 Kasım 2025;Audi;A3;A3 Sportback 1.4 TFSI Ambition;2012;132.000 km;Yarı Otomatik;55 lt;Hatchback/3;Beyaz;1390 cc;125 hp;İkinci El;1 değişen
https://www.arabam.com/ilan/galeriden-satilik-audi-a4-sedan-1-4-tfsi-sport/takas-olur-a4/29670688;1.450.000 TL;29 Kasım 2025;Audi;A4;A4 Sedan 1.4 TFSI Sport;2016;237.000 km;Yarı Otomatik;54 lt;Sedan;Mavi;1395 cc;150 hp;İkinci El;2 boyalı
https://www.arabam.com/ilan/sahibinden-satilik-audi-a3-sportback-1-6-standart/sahibinden-audi-a3-sportback-1-6-standart-2008-model/35298751;655.000 TL;29 Kasım 2025;Audi;A3;A3 Sportback 1.6 Standart;2008;338.000 km;Otomatik;55 lt;Hatchback/3;Mavi;1595 cc;102 hp;İkinci El;Belirtilmemiş
https://www.arabam.com/ilan/sahibinden-satilik-audi-a3-sportback-1-6-tdi-dynamic/valilik-personelinden-audi-a3-sportback-1-6-tdi-dynamic-2016-model/35298649;1.450.000 TL;29 Kasım 2025;Audi;A3;A3 Sportback 1.6 TDI Dynamic;2016;102.000 km;Yarı Otomatik;50 lt;Hatchback/5;Siyah;1598 cc;110 hp;İkinci El;4 boyalı
https://www.arabam.com/ilan/sahibinden-satilik-audi-a4-sedan-1-4-tfsi-design/sahibinden-audi-a4-sedan-1-4-tfs-design-2018-model-yetkili-servis-bakimli/35188810;2.150.000 TL;29 Kasım 2025;Audi;A4;A4 Sedan 1.4 TFSI Design;2018;62.266 km;Yarı Otomatik;54 lt;Sedan;Beyaz;1395 cc;150 hp;İkinci El;2 değişen
https://www.arabam.com/ilan/galeriden-satilik-audi-a6-sedan-2-0-tdi/audi-a6-yetkili-servis-bakimli/35293998;1.780.000 TL;29 Kasım 2025;Audi;A6;A6 Sedan 2.0 TDI;2013;234.000 km;Otomatik;65 lt;Sedan;Beyaz;1968 cc;177 hp;İkinci El;Belirtilmemiş
https://www.arabam.com/ilan/galeriden-satilik-audi-a6-sedan-2-0-tdi/gunes-otomotivden-2014-model-hatasiz-ayarinda-tertemiz-full-full-audi-a6-ultra/32674178;1.650.000 TL;29 Kasım 2025;Audi;A6;A6 Sedan 2.0 TDI;2014;325.000 km;Yarı Otomatik;65 lt;Sedan;Siyah;1968 cc;190 hp;İkinci El;3 boyalı
https://www.arabam.com/ilan/galeriden-satilik-audi-a6-sedan-2-0-tdi/degisensiz-kazasiz-a6-sanruflu-ful-paket/35293215;890.000 TL;29 Kasım 2025;Audi;A6;A6 Sedan 2.0 TDI;2011;385.000 km;Otomatik;65 lt;Sedan;Gri;1998 cc;177 hp;İkinci El;9 boyalı
https://www.arabam.com/ilan/sahibinden-satilik-audi-a5-sportback-2-0-tdi/yeni-kasa-audi-a5-orjinal-s-line-acill-tr-en-uygunu-ful-ful-en-dolusu/35253904;1.250.000 TL;29 Kasım 2025;Audi;A5;A5 Sportback 2.0 TDI;2012;380.000 km;Otomatik;65 lt;Hatchback/5;Siyah;1968 cc;177 hp;İkinci El;2 değişen, 4 boyalı
https://www.arabam.com/ilan/galeriden-satilik-audi-a3-hatchback-1-6-attraction/auto-kibar-2003-model-audi-a3-1-6-otomatik-hb/34461514;355.900 TL;29 Kasım 2025;Audi;A3;A3 Hatchback 1.6 Attraction;2003;311.000 km;Otomatik;LPG & Benzin;Hatchback/3;Siyah;1401 - 1600 cm3;101 - 125 HP;İkinci El;1 değişen, 11 boyalı
https://www.arabam.com/ilan/galeriden-satilik-audi-a5-sportback-2-0-tdi-quattro/audi-a5-sportback-2-0-tdi-quattro-2019-model/35292503;2.950.000 TL;29 Kasım 2025;Audi;A5;A5 Sportback 2.0 TDI Quattro;2019;150.000 km;Yarı Otomatik;58 lt;Hatchback/5;Füme;1968 cc;190 hp;İkinci El;Tamamı orjinal
https://www.arabam.com/ilan/sahibinden-satilik-audi-a3-sedan-1-6-tdi-ambition/sahibinden-audi-a3-sedan-1-6-tdi-ambition-2015-model/35295087;1.050.000 TL;29 Kasım 2025;Audi;A3;A3 Sedan 1.6 TDI Ambition;2015;295.000 km;Yarı Otomatik;50 lt;Sedan;Siyah;1598 cc;110 hp;İkinci El;Belirtilmemiş
