Fiyat;Marka;Seri;Model;Yıl;Kilometre;Vites;Yakıt;Renk;Motor Hacmi;Motor Gücü;Kasa Tipi;Boya-değişen
800000.0;Volkswagen;Jetta;1.6 TDi Comfortline;2015.0;232.000 km;;;;1598 cc;105 hp;Sedan;1 değişen, 2 boyalı
1055000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2013.0;178.000 km;;;;1598 cc;105 hp;Sedan;4 boyalı
680000.0;Volkswagen;Passat;2.0 TDi Exclusive;2009.0;289.000 km;;;;1968 cc;140 hp;Sedan;6 boyalı
1465000.0;Volkswagen;Golf;1.6 TDi BlueMotion Highline;2018.0;149.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Hatchback/5;Tamamı orjinal
279900.0;Volkswagen;Polo;1.4 Comfortline;2001.0;310.000 km;;;;1390 cc;100 hp;Hatchback/5;Belirtilmemiş
1165000.0;Volkswagen;Polo;1.2 TSi Comfortline;2017.0;65.000 km;;;;1197 cc;90 hp;Hatchback/5;Tamamı orjinal
1165000.0;Volkswagen;Polo;1.2 TSi Comfortline;2017.0;65.000 km;;;;1197 cc;90 hp;Hatchback/5;Tamamı orjinal
697500.0;Volkswagen;Jetta;1.6 Primeline;2008.0;199.000 km;;;;1595 cc;102 hp;Sedan;7 boyalı
1775000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2016.0;148.000 km;;;;1598 cc;120 hp;Sedan;Belirtilmemiş
1905000.0;Volkswagen;Passat;1.5 TSi Business;2022.0;93.000 km;;;;1498 cc;150 hp;Sedan;Tamamı orjinal
1255000.0;Volkswagen;Polo;1.0 TSi Life;2023.0;104.000 km;;;;1200 cm3' e kadar;76 - 100 HP;Hatchback/5;Tamamı orjinal
985000.0;Volkswagen;Golf;1.6 TDi BlueMotion Comfortline;2014.0;235.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Hatchback/5;Belirtilmemiş
500000.0;Volkswagen;Golf;1.6 Primeline;2005.0;154.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Hatchback/5;1 değişen, 3 boyalı
2059000.0;Volkswagen;Golf;1.5 eTSI Life;2025.0;9.000 km;;;;1498 cc;116 hp;Hatchback/5;Tamamı orjinal
810000.0;Volkswagen;Golf;1.2 TSi Midline Plus;2013.0;221.000 km;;;;1197 cc;105 hp;Hatchback/5;2 boyalı
1155000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2015.0;233.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;Belirtilmemiş
1435000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2017.0;209.000 km;;;;1598 cc;120 hp;Sedan;Tamamı orjinal
2085000.0;Volkswagen;Passat;1.5 TSi Business;2022.0;61.000 km;;;;1401 - 1600 cm3;126 - 150 HP;Sedan;Tamamı orjinal
1135000.0;Volkswagen;Jetta;1.2 TSi BlueMotion Comfortline;2016.0;117.000 km;;;;1200 cm3' e kadar;101 - 125 HP;Sedan;Tamamı orjinal
1199000.0;Volkswagen;Passat Variant;1.6 TDi BlueMotion Comfortline;2014.0;197.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Station wagon;Tamamı orjinal
1095000.0;Volkswagen;Polo;1.2 TSi Comfortline;2014.0;35.000 km;;;;1200 cm3' e kadar;76 - 100 HP;Hatchback/5;1 boyalı
1249750.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2016.0;280.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;1 değişen, 9 boyalı
1079900.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2014.0;280.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;1 boyalı
875000.0;Volkswagen;Golf;1.4 TSi Comfortline;2018.0;215.000 km;;;;1201 - 1400 cm3;101 - 125 HP;Hatchback/5;2 değişen, 3 boyalı
1000020.0;Volkswagen;Passat;1.4 TSi BlueMotion Comfortline;2012.0;191.000 km;;;;1400 cc;101 - 125 HP;Sedan;Tamamı orjinal
885000.0;Volkswagen;Golf;1.6 TDi BlueMotion Midline Plus;2015.0;215.992 km;;;;1598 cc;90 hp;Hatchback/5;3 boyalı
509000.0;Volkswagen;Polo;1.2 TDi Trendline;2013.0;211.750 km;;;;1199 cc;75 hp;Hatchback/5;1 değişen, 9 boyalı
2050000.0;Volkswagen;Golf;1.5 eTSI Life;2025.0;6.021 km;;;;1498 cc;116 hp;Hatchback/5;Tamamı orjinal
295000.0;Volkswagen;Polo;1.Haz;1999.0;175.000 km;;;;1598 cc;75 hp;Hatchback/5;Belirtilmemiş
985000.0;Volkswagen;Golf;1.4 TSi Highline;2013.0;230.000 km;;;;1395 cc;122 hp;Hatchback/5;1 değişen, 1 boyalı
1435000.0;Volkswagen;Golf;1.0 eTSI Life;2022.0;127.000 km;;;;999 cc;110 hp;Hatchback/5;2 boyalı
1457000.0;Volkswagen;Passat;1.5 TSi Impression;2020.0;176.000 km;;;;1401 - 1600 cm3;126 - 150 HP;Sedan;2 boyalı
1595000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2018.0;173.500 km;;;;1598 cc;120 hp;Sedan;Belirtilmemiş
779999.0;Volkswagen;Polo;1.4 TDi Comfortline;2016.0;190.000 km;;;;1401 - 1600 cm3;76 - 100 HP;Hatchback/5;1 değişen, 7 boyalı
2495000.0;Volkswagen;Golf;1.5 eTSI R Line;2024.0;32.000 km;;;;1401 - 1600 cm3;126 - 150 HP;Hatchback/5;Tamamı orjinal
236750.0;Volkswagen;Golf;1.8 GL;1994.0;185.000 km;;;;1601 - 1800 cm3;76 - 100 HP;Hatchback/5;Tamamı orjinal
1250000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2013.0;190.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;1 değişen, 1 boyalı
1250000.0;Volkswagen;Golf;1.4 TSi Highline;2015.0;129.000 km;;;;1395 cc;125 hp;Hatchback/5;Tamamı orjinal
1339500.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2014.0;246.500 km;;;;1598 cc;120 hp;Sedan;1 değişen, 1 boyalı
1630000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2018.0;230.000 km;;;;1598 cc;120 hp;Sedan;Belirtilmemiş
835000.0;Volkswagen;Jetta;1.6 TDi Comfortline;2015.0;255.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;4 boyalı
1025000.0;Volkswagen;Jetta;1.6 TDi Comfortline;2015.0;230.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;1 değişen, 7 boyalı
1100000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2012.0;230.498 km;;;;1598 cc;105 hp;Sedan;Belirtilmemiş
1085000.0;Volkswagen;Polo;1.0 Impression;2023.0;15.000 km;;;;999 cc;80 hp;Hatchback/5;Tamamı orjinal
1419000.0;Volkswagen;Golf;1.0 TSi Highline;2018.0;139.000 km;;;;999 cc;110 hp;Hatchback/5;1 değişen
650000.0;Volkswagen;Polo;1.4 Comfortline;2012.0;245.000 km;;;;1390 cc;85 hp;Hatchback/5;4 boyalı
650000.0;Volkswagen;Polo;1.4 Comfortline;2012.0;245.000 km;;;;1390 cc;85 hp;Hatchback/5;4 boyalı
698000.0;Volkswagen;Jetta;1.2 TSi Comfortline;2012.0;286.000 km;;;;1197 cc;105 hp;Sedan;Tamamı orjinal
1630000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2017.0;220.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;Belirtilmemiş
1490000.0;Volkswagen;Passat;1.5 TSi Business;2020.0;238.000 km;;;;1498 cc;150 hp;Sedan;Belirtilmemiş
1050000.0;Volkswagen;Golf;1.2 TSi Midline Plus;2016.0;190.000 km;;;;1200 cm3' e kadar;101 - 125 HP;Hatchback/5;Tamamı orjinal
335000.0;Volkswagen;Polo;1.4 Comfortline;2001.0;262.000 km;;;;1390 cc;100 hp;Hatchback/3;1 değişen
1745000.0;Volkswagen;Passat;1.5 TSi Business;2020.0;109.000 km;;;;1401 - 1600 cm3;126 - 150 HP;Sedan;Tamamı orjinal
2465000.0;Volkswagen;Golf;1.5 eTSI R Line;2024.0;18.500 km;;;;1498 cc;150 hp;Hatchback/5;Tamamı orjinal
1519000.0;Volkswagen;Passat;1.4 TSi BlueMotion Comfortline;2016.0;148.000 km;;;;1201 - 1400 cm3;101 - 125 HP;Sedan;Tamamı orjinal
1299900.0;Volkswagen;Polo;1.0 TSi Comfortline;2021.0;52.500 km;;;;1200 cm3' e kadar;76 - 100 HP;Hatchback/5;Tamamı orjinal
1985000.0;Volkswagen;Passat;1.4 TSi BlueMotion Highline;2018.0;84.000 km;;;;1201 - 1400 cm3;101 - 125 HP;Sedan;Belirtilmemiş
570000.0;Volkswagen;Jetta;1.6 TDi Trendline;2012.0;326.500 km;;;;1598 cc;105 hp;Sedan;1 değişen, 11 boyalı
1495000.0;Volkswagen;Passat;1.6 TDi BlueMotion Business;2020.0;162.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;3 değişen, 2 boyalı
1150000.0;Volkswagen;Passat;1.4 TSi BlueMotion Comfortline;2011.0;138.000 km;;;;1390 cc;122 hp;Sedan;3 değişen, 2 boyalı
885000.0;Volkswagen;Polo;1.4 TDi Comfortline;2016.0;199.000 km;;;;1422 cc;90 hp;Hatchback/5;2 boyalı
815000.0;Volkswagen;Passat;1.4 TSi BlueMotion Trendline;2011.0;203.000 km;;;;1201 - 1400 cm3;101 - 125 HP;Sedan;2 değişen, 4 boyalı
857000.0;Volkswagen;Polo;1.4 Comfortline;2011.0;90.000 km;;;;1201 - 1400 cm3;76 - 100 HP;Hatchback/5;Belirtilmemiş
625000.0;Volkswagen;Passat;1.6 FSi Comfortline;2008.0;304.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;1 değişen, 6 boyalı
1475000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2015.0;149.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;3 boyalı
877000.0;Volkswagen;Golf;1.4 TSi Comfortline;2009.0;196.000 km;;;;1390 cc;122 hp;Hatchback/5;2 değişen, 1 boyalı
1135000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2012.0;144.000 km;;;;1598 cc;105 hp;Sedan;Tamamı orjinal
410000.0;Volkswagen;Bora;1.6 Comfortline;2004.0;285.000 km;;;;1595 cc;102 hp;Sedan;1 değişen, 4 boyalı
1085000.0;Volkswagen;Polo;1.2 TSi Comfortline;2015.0;62.250 km;;;;1200 cm3' e kadar;76 - 100 HP;Hatchback/5;Tamamı orjinal
980000.0;Volkswagen;Jetta;1.6 TDi Comfortline;2015.0;243.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;Belirtilmemiş
849000.0;Volkswagen;Jetta;1.2 TSi Trendline;2015.0;175.000 km;;;;1200 cm3' e kadar;101 - 125 HP;Sedan;Tamamı orjinal
1070000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2013.0;213.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;1 değişen, 6 boyalı
915000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2014.0;410.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;2 değişen, 6 boyalı
625000.0;Volkswagen;New Beetle;1.6 Smile;2003.0;250.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Hatchback/3;Belirtilmemiş
1335000.0;Volkswagen;Golf;1.4 TSi Highline;2017.0;139.000 km;;;;1201 - 1400 cm3;101 - 125 HP;Hatchback/5;4 boyalı
1439000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2016.0;180.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;4 boyalı
535000.0;Volkswagen;Jetta;1.6 Comfortline;2007.0;336.900 km;;;;1595 cc;102 hp;Sedan;6 boyalı
1615000.0;Volkswagen;Passat;1.4 TSi BlueMotion Highline;2016.0;161.000 km;;;;1201 - 1400 cm3;126 - 150 HP;Sedan;Tamamı orjinal
919000.0;Volkswagen;Polo;1.0 Impression;2024.0;24.000 km;;;;1200 cm3' e kadar;76 - 100 HP;Hatchback/5;Belirtilmemiş
1045000.0;Volkswagen;Passat;1.4 TSi BlueMotion Comfortline;2011.0;205.000 km;;;;1201 - 1400 cm3;101 - 125 HP;Sedan;Tamamı orjinal
1039900.0;Volkswagen;Passat;1.4 TSi BlueMotion Comfortline;2013.0;192.000 km;;;;1201 - 1400 cm3;101 - 125 HP;Sedan;Tamamı orjinal
695000.0;Volkswagen;Passat;1.4 TSi BlueMotion Comfortline;2012.0;335.000 km;;;;1390 cc;122 hp;Sedan;7 boyalı
775000.0;Volkswagen;Golf;1.4 TSi Comfortline;2011.0;255.000 km;;;;1390 cc;122 hp;Hatchback/5;Belirtilmemiş
749000.0;Volkswagen;Passat;1.4 TSi BlueMotion Trendline;2011.0;290.000 km;;;;1201 - 1400 cm3;101 - 125 HP;Sedan;2 değişen, 3 boyalı
1149000.0;Volkswagen;Golf;1.0 TSi Comfortline;2017.0;79.000 km;;;;1200 cm3' e kadar;101 - 125 HP;Hatchback/5;Tamamı orjinal
1175000.0;Volkswagen;Jetta;1.4 TSi BlueMotion Highline;2017.0;140.000 km;;;;1201 - 1400 cm3;101 - 125 HP;Sedan;2 değişen, 5 boyalı
1195000.0;Volkswagen;Polo;1.0 TSi Comfortline;2018.0;145.000 km;;;;1201 - 1400 cm3;76 - 100 HP;Hatchback/5;4 boyalı
999000.0;Volkswagen;Scirocco;1.4 TSi Sportline;2016.0;136.000 km;;;;1201 - 1400 cm3;126 - 150 HP;Coupe;2 değişen, 4 boyalı
1625000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2016.0;70.000 km;;;;1598 cc;120 hp;Sedan;Tamamı orjinal
1110000.0;Volkswagen;VW CC;1.4 TSi;2015.0;228.500 km;;;;1201 - 1400 cm3;151 - 175 HP;Coupe;2 değişen, 5 boyalı
736900.0;Volkswagen;Polo;1.4 TDi Trendline;2017.0;169.000 km;;;;1422 cc;75 hp;Hatchback/5;3 boyalı
1075000.0;Volkswagen;Polo;1.0 Impression;2024.0;20.000 km;;;;1200 cm3' e kadar;76 - 100 HP;Hatchback/5;Tamamı orjinal
742000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2014.0;250.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;1 değişen, 6 boyalı
1490000.0;Volkswagen;Golf;1.4 TSi Comfortline;2017.0;128.000 km;;;;1201 - 1400 cm3;101 - 125 HP;Hatchback/5;2 boyalı
1830000.0;Volkswagen;Passat;1.5 TSi Business;2021.0;135.000 km;;;;1498 cc;150 hp;Sedan;Belirtilmemiş
630000.0;Volkswagen;Jetta;1.4 TSi Tour;2009.0;270.000 km;;;;1390 cc;122 hp;Sedan;4 boyalı
1750000.0;Volkswagen;Passat;1.6 TDi BlueMotion Highline;2017.0;175.000 km;;;;1598 cc;120 hp;Sedan;Belirtilmemiş
1820000.0;Volkswagen;Passat;1.5 TSi Impression;2021.0;49.000 km;;;;1498 cc;150 hp;Sedan;Belirtilmemiş
465000.0;Volkswagen;Polo;1.4 Basicline;2005.0;217.000 km;;;;1390 cc;75 hp;Hatchback/5;1 değişen, 6 boyalı
955000.0;Volkswagen;Golf;1.6 TDi BlueMotion Comfortline;2016.0;258.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Hatchback/5;Tamamı orjinal
1125000.0;Volkswagen;Golf;1.6 TDi BlueMotion Comfortline;2017.0;208.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Hatchback/5;Tamamı orjinal
870000.0;Volkswagen;Jetta;1.6 TDi Comfortline;2012.0;235.000 km;;;;1598 cc;105 hp;Sedan;6 boyalı
755000.0;Volkswagen;Polo;1.6 TDi Comfortline;2013.0;201.000 km;;;;1401 - 1600 cm3;76 - 100 HP;Hatchback/5;3 değişen, 3 boyalı
1715000.0;Volkswagen;Passat;1.4 TSi BlueMotion Comfortline;2018.0;100.000 km;;;;1201 - 1400 cm3;101 - 125 HP;Sedan;Tamamı orjinal
1205000.0;Volkswagen;Jetta;1.4 TSi BlueMotion Comfortline;2017.0;149.000 km;;;;1201 - 1400 cm3;101 - 125 HP;Sedan;Tamamı orjinal
1680000.0;Volkswagen;Passat;1.4 TSi BlueMotion Highline;2016.0;72.440 km;;;;1201 - 1400 cm3;101 - 125 HP;Sedan;3 değişen, 5 boyalı
1600000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2016.0;203.000 km;;;;1598 cc;120 hp;Sedan;Belirtilmemiş
529000.0;Volkswagen;Golf;1.6 FSi Midline;2004.0;262.000 km;;;;1598 cc;115 hp;Hatchback/5;Belirtilmemiş
325000.0;Volkswagen;Passat;1.8 Basic;1998.0;371.000 km;;;;1781 cc;125 hp;Sedan;1 değişen, 12 boyalı
850000.0;Volkswagen;Jetta;1.6 TDi Comfortline;2011.0;200.550 km;;;;1598 cc;105 hp;Sedan;1 değişen, 3 boyalı
1035000.0;Volkswagen;Jetta;1.4 TSi BlueMotion Comfortline;2016.0;177.000 km;;;;1395 cc;125 hp;Sedan;2 değişen, 2 boyalı
1525000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2015.0;164.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;Tamamı orjinal
1200000.0;Volkswagen;Golf;1.4 TSi Comfortline;2013.0;168.000 km;;;;1395 cc;122 hp;Hatchback/5;Tamamı orjinal
199750.0;Volkswagen;Polo;1.6 Classic;1997.0;94.000 km;;;;1595 cc;100 hp;Sedan;Belirtilmemiş
1250000.0;Volkswagen;Polo;1.0 TSi Comfortline;2021.0;103.000 km;;;;999 cc;95 hp;Hatchback/5;Belirtilmemiş
785000.0;Volkswagen;Jetta;1.6 TDi Exclusive;2011.0;277.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;Tamamı orjinal
1385000.0;Volkswagen;Golf;1.0 eTSI Life;2021.0;156.500 km;;;;999 cc;110 hp;Hatchback/5;Belirtilmemiş
1490000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2017.0;180.000 km;;;;1598 cc;120 hp;Sedan;Belirtilmemiş
900000.0;Volkswagen;Jetta;1.6 TDi Comfortline;2014.0;273.000 km;;;;1598 cc;105 hp;Sedan;1 değişen
1185000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2016.0;250.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;3 değişen, 2 boyalı
610000.0;Volkswagen;Jetta;1.6 Primeline;2010.0;375.000 km;;;;1595 cc;102 hp;Sedan;Belirtilmemiş
1473000.0;Volkswagen;Polo;1.0 TSi Life;2024.0;6.046 km;;;;1200 cm3' e kadar;76 - 100 HP;Hatchback/5;Tamamı orjinal
1100000.0;Volkswagen;Jetta;1.6 TDi Highline;2014.0;197.000 km;;;;1598 cc;105 hp;Sedan;Tamamı orjinal
710000.0;Volkswagen;Polo;1.6 TDi Comfortline;2013.0;280.000 km;;;;1598 cc;90 hp;Hatchback/5;4 boyalı
300000.0;Volkswagen;Polo;1.Haz;2000.0;278.000 km;;;;1598 cc;75 hp;Hatchback/5;Belirtilmemiş
665000.0;Volkswagen;Jetta;1.6 TDi Comfortline;2011.0;272.000 km;;;;1598 cc;105 hp;Sedan;5 boyalı
1135000.0;Renault;Clio;1.0 TCe Touch;2020.0;56.000 km;;;;999 cc;100 hp;Hatchback/5;Tamamı orjinal
725000.0;Renault;Clio;1.5 dCi SportTourer Joy;2018.0;178.000 km;;;;1461 cc;75 hp;Station wagon;Belirtilmemiş
975000.0;Renault;Clio;1.0 TCe Touch;2021.0;166.000 km;;;;999 cc;90 hp;Hatchback/5;Tamamı orjinal
767750.0;Renault;Clio;1.5 dCi Joy;2019.0;192.000 km;;;;1461 cc;75 hp;Hatchback/5;2 boyalı
719950.0;Renault;Latitude;2.0 dCi Privilege;2011.0;211.000 km;;;;1995 cc;175 hp;Sedan;2 boyalı
595500.0;Renault;Scenic;1.6 Privilege;2006.0;187.500 km;;;;1401 - 1600 cm3;101 - 125 HP;MPV;Tamamı orjinal
1269750.0;Renault;Megane;1.5 Blue DCI Joy;2020.0;118.000 km;;;;1461 cc;115 hp;Sedan;Tamamı orjinal
314750.0;Renault;Clio;1.4 RNA;2000.0;270.000 km;;;;1390 cc;75 hp;Sedan;2 boyalı
720000.0;Renault;Clio;1.0 SCe Joy;2022.0;80.000 km;;;;999 cc;65 hp;Hatchback/5;3 boyalı
559000.0;Renault;Clio;1.2 Night & Day;2011.0;110.000 km;;;;1149 cc;75 hp;Hatchback/5;6 boyalı
1075000.0;Renault;Clio;1.3 TCe Touch;2020.0;55.000 km;;;;1332 cc;130 hp;Hatchback/5;1 değişen
1650000.0;Renault;Megane;1.3 TCe Touch;2025.0;6.001 km;;;;1332 cc;140 hp;Sedan;Tamamı orjinal
805950.0;Renault;Clio;0.9 TCe Sport Tourer Joy;2020.0;88.000 km;;;;898 cc;90 hp;Station wagon;3 boyalı
785000.0;Renault;Clio;1.5 dCi Touch;2016.0;190.000 km;;;;1461 cc;90 hp;Hatchback/5;6 boyalı
1219950.0;Renault;Clio;1.0 TCe Evolution;2024.0;42.000 km;;;;999 cc;90 hp;Hatchback/5;3 boyalı
1155000.0;Renault;Megane;1.5 Blue DCI Touch;2020.0;182.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;1 değişen, 1 boyalı
349000.0;Renault;Symbol;1.5 dCi Authentique;2011.0;313.000 km;;;;1461 cc;85 hp;Sedan;Belirtilmemiş
575000.0;Renault;Symbol;1.5 dCi Joy;2016.0;210.000 km;;;;1461 cc;90 hp;Sedan;Tamamı orjinal
520000.0;Renault;Megane;1.6 Dynamique;2004.0;250.000 km;;;;1598 cc;115 hp;Hatchback/5;Belirtilmemiş
1499000.0;Renault;Megane;1.3 TCe Icon;2020.0;50.840 km;;;;1332 cc;140 hp;Sedan;Tamamı orjinal
1895000.0;Renault;Megane;1.5 Blue DCI Touch;2024.0;6.061 km;;;;1461 cc;115 hp;Sedan;Tamamı orjinal
1738000.0;Renault;Megane;1.3 TCe Icon;2024.0;34.500 km;;;;1332 cc;140 hp;Sedan;Tamamı orjinal
